분류,지점명,채수위치,조사일,수온(℃),pH,DO(㎎/L),투명도,탁도,Chl-a (㎎/㎥),유해남조류 세포수 (cells/㎖),유해남조류 우점종 및 세포수(속별),유해남조류 우점종 및 세포수(속별).1,유해남조류 우점종 및 세포수(속별).2,유해남조류 우점종 및 세포수(속별).3,냄새물질 (ng/L),냄새물질 (ng/L).1,조류독소(㎍/L),조류독소(㎍/L).1,조류독소(㎍/L).2,조류독소(㎍/L).3,조류독소(㎍/L).4,조류독소(㎍/L).5,평균기온(°C),일강수량(mm),합계 일조시간(hr),합계 일사량(MJ/m2)
호소,대청호,회남,2015-02-09,8.8,8.2,13.3,2.9,1.7,4.5,68.0,0.0,0.0,0.0,68.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,-4.5,0.0,9.1,14.99
호소,대청호,문의,2015-02-16,8.8,8.2,13.3,2.9,1.7,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,4.8,17.0,0.0,1.33
호소,대청호,추동,2015-02-16,8.8,8.2,13.3,2.9,1.7,4.5,52.0,0.0,0.0,0.0,52.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,4.8,17.0,0.0,1.33
호소,대청호,회남,2015-02-16,8.8,8.2,13.3,2.9,1.7,4.5,56.0,0.0,56.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,4.8,17.0,0.0,1.33
호소,대청호,추동,2015-02-23,8.8,8.2,13.3,2.9,1.7,4.5,132.0,0.0,0.0,0.0,132.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,3.0,0.0,6.9,15.66
호소,대청호,문의,2015-02-23,8.8,8.2,13.3,2.9,1.7,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,3.0,0.0,6.9,15.66
호소,대청호,회남,2015-02-23,8.8,8.2,13.3,2.9,1.7,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,3.0,0.0,6.9,15.66
호소,대청호,회남,2015-03-02,8.8,8.2,13.3,2.9,1.7,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,3.8,0.0,10.5,20.08
호소,대청호,문의,2015-03-02,8.8,8.2,13.3,2.9,1.7,4.5,48.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,3.8,0.0,10.5,20.08
호소,대청호,추동,2015-03-02,8.8,8.2,13.3,2.9,1.7,4.5,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,3.8,0.0,10.5,20.08
호소,대청호,회남,2015-03-09,8.8,8.2,13.3,2.9,1.7,4.5,158.0,0.0,0.0,0.0,158.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,4.4,0.0,9.1,18.79
호소,대청호,추동,2015-03-09,8.8,8.2,13.3,2.9,1.7,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,4.4,0.0,9.1,18.79
호소,대청호,문의,2015-03-09,8.8,8.2,13.3,2.9,1.7,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,4.4,0.0,9.1,18.79
호소,대청호,회남,2015-03-16,8.8,8.2,13.3,2.9,1.7,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,10.3,0.0,9.3,19.06
호소,대청호,추동,2015-03-16,8.8,8.2,13.3,2.9,1.7,4.5,94.0,0.0,0.0,0.0,94.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,10.3,0.0,9.3,19.06
호소,대청호,문의,2015-03-16,8.8,8.2,13.3,2.9,1.7,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,10.3,0.0,9.3,19.06
호소,대청호,추동,2015-03-23,8.8,8.2,13.3,2.9,1.7,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,5.3,0.0,11.6,24.63
호소,대청호,문의,2015-03-23,8.8,8.2,13.3,2.9,1.7,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,5.3,0.0,11.6,24.63
호소,대청호,회남,2015-03-23,8.8,8.2,13.3,2.9,1.7,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,5.3,0.0,11.6,24.63
호소,대청호,회남,2015-03-30,8.8,8.2,13.3,2.9,1.7,4.5,14.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,14.8,0.0,10.3,22.87
호소,대청호,문의,2015-03-30,8.8,8.2,13.3,2.9,1.7,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,14.8,0.0,10.3,22.87
호소,대청호,추동,2015-03-30,8.8,8.2,13.3,2.9,1.7,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,14.8,0.0,10.3,22.87
호소,대청호,문의,2015-04-06,8.8,8.2,13.3,2.9,1.7,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,10.4,2.1,0.0,5.41
호소,대청호,회남,2015-04-06,8.8,8.2,13.3,2.9,1.7,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,10.4,2.1,0.0,5.41
호소,대청호,추동,2015-04-06,8.8,8.2,13.3,2.9,1.7,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,10.4,2.1,0.0,5.41
호소,대청호,회남,2015-04-13,8.8,8.2,13.3,2.9,1.7,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,10.8,1.5,0.2,5.43
호소,대청호,문의,2015-04-13,8.8,8.2,13.3,2.9,1.7,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,10.8,1.5,0.2,5.43
호소,대청호,추동,2015-04-13,8.8,8.2,13.3,2.9,1.7,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,10.8,1.5,0.2,5.43
호소,대청호,회남,2015-04-20,8.8,8.2,13.3,2.9,1.7,4.5,18.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,11.5,13.0,0.0,3.63
호소,대청호,문의,2015-04-20,8.8,8.2,13.3,2.9,1.7,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,11.5,13.0,0.0,3.63
호소,대청호,추동,2015-04-20,8.8,8.2,13.3,2.9,1.7,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,11.5,13.0,0.0,3.63
호소,대청호,문의,2015-04-27,8.8,8.2,13.3,2.9,1.7,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,19.3,0.0,12.4,27.61
호소,대청호,추동,2015-04-27,8.8,8.2,13.3,2.9,1.7,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,19.3,0.0,12.4,27.61
호소,대청호,회남,2015-04-27,8.8,8.2,13.3,2.9,1.7,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,19.3,0.0,12.4,27.61
호소,대청호,문의,2015-05-04,8.8,8.2,13.3,2.9,1.7,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,16.4,0.0,11.8,27.61
호소,대청호,회남,2015-05-04,8.8,8.2,13.3,2.9,1.7,4.5,184.0,18.0,0.0,0.0,166.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,16.4,0.0,11.8,27.61
호소,대청호,추동,2015-05-04,8.8,8.2,13.3,2.9,1.7,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,16.4,0.0,11.8,27.61
호소,대청호,추동,2015-05-11,8.8,8.2,13.3,2.9,1.7,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,18.2,10.0,5.3,16.62
호소,대청호,문의,2015-05-11,8.8,8.2,13.3,2.9,1.7,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,18.2,10.0,5.3,16.62
호소,대청호,회남,2015-05-11,8.8,8.2,13.3,2.9,1.7,4.5,22.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,18.2,10.0,5.3,16.62
호소,대청호,추동,2015-05-18,8.8,8.2,13.3,2.9,1.7,4.5,44.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,18.7,0.0,5.6,18.34
호소,대청호,문의,2015-05-18,8.8,8.2,13.3,2.9,1.7,4.5,28.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,18.7,0.0,5.6,18.34
호소,대청호,회남,2015-05-18,8.8,8.2,13.3,2.9,1.7,4.5,540.0,280.0,86.0,0.0,174.0,10.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,18.7,0.0,5.6,18.34
호소,대청호,추동,2015-05-26,8.8,8.2,13.3,2.9,1.7,4.5,486.0,486.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,22.3,0.0,13.3,31.86
호소,대청호,회남,2015-05-26,8.8,8.2,13.3,2.9,1.7,4.5,16.0,0.0,0.0,0.0,16.0,8.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,22.3,0.0,13.3,31.86
호소,대청호,문의,2015-05-26,8.8,8.2,13.3,2.9,1.7,4.5,28.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,22.3,0.0,13.3,31.86
호소,대청호,문의,2015-06-01,8.8,8.2,13.3,2.9,1.7,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,23.3,0.0,12.5,28.27
호소,대청호,추동,2015-06-01,8.8,8.2,13.3,2.9,1.7,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,23.3,0.0,12.5,28.27
호소,대청호,회남,2015-06-01,8.8,8.2,13.3,2.9,1.7,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,23.3,0.0,12.5,28.27
호소,대청호,회남,2015-06-08,8.8,8.2,13.3,2.9,1.7,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,22.0,0.0,1.3,12.78
호소,대청호,문의,2015-06-08,8.8,8.2,13.3,2.9,1.7,4.5,120.0,86.0,0.0,0.0,34.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,22.0,0.0,1.3,12.78
호소,대청호,추동,2015-06-08,8.8,8.2,13.3,2.9,1.7,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,22.0,0.0,1.3,12.78
호소,대청호,추동,2015-06-15,8.8,8.2,13.3,2.9,1.7,4.5,540.0,540.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,24.9,0.0,5.1,19.87
호소,대청호,회남,2015-06-15,8.8,8.2,13.3,2.9,1.7,4.5,656.0,620.0,36.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,24.9,0.0,5.1,19.87
호소,대청호,문의,2015-06-15,8.8,8.2,13.3,2.9,1.7,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,24.9,0.0,5.1,19.87
호소,대청호,문의,2015-06-22,8.8,8.2,13.3,2.9,1.7,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,24.4,0.0,7.1,23.5
호소,대청호,회남,2015-06-22,8.8,8.2,13.3,2.9,1.7,4.5,644.0,420.0,224.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,24.4,0.0,7.1,23.5
호소,대청호,추동,2015-06-22,8.8,8.2,13.3,2.9,1.7,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,24.4,0.0,7.1,23.5
호소,대청호,추동,2015-06-29,8.8,8.2,13.3,2.9,1.7,4.5,2232.0,2064.0,0.0,36.0,132.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,25.7,0.0,10.1,26.28
호소,대청호,문의,2015-06-29,8.8,8.2,13.3,2.9,1.7,4.5,142.0,74.0,0.0,0.0,68.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,25.7,0.0,10.1,26.28
호소,대청호,회남,2015-06-29,8.8,8.2,13.3,2.9,1.7,4.5,78.0,0.0,78.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,25.7,0.0,10.1,26.28
호소,대청호,문의,2015-07-06,8.8,8.2,13.3,2.9,1.7,4.5,548.0,156.0,0.0,0.0,392.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,24.3,0.0,8.5,23.09
호소,대청호,회남,2015-07-06,8.8,8.2,13.3,2.9,1.7,4.5,292.0,220.0,8.0,0.0,64.0,6.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,24.3,0.0,8.5,23.09
호소,대청호,추동,2015-07-06,8.8,8.2,13.3,2.9,1.7,4.5,1502.0,1262.0,0.0,0.0,240.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,24.3,0.0,8.5,23.09
호소,대청호,회남,2015-07-13,8.8,8.2,13.3,2.9,1.7,4.5,260.0,220.0,0.0,0.0,40.0,18.0,11.0,0.0,0.7,0.0,0.0,0.0,0.0,23.9,4.6,0.1,6.15
호소,대청호,문의,2015-07-13,8.8,8.2,13.3,2.9,1.7,4.5,140.0,0.0,126.0,0.0,14.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,23.9,4.6,0.1,6.15
호소,대청호,추동,2015-07-13,8.8,8.2,13.3,2.9,1.7,4.5,422.0,240.0,0.0,0.0,182.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,23.9,4.6,0.1,6.15
호소,대청호,회남,2015-07-20,8.8,8.2,13.3,2.9,1.7,4.5,1406.0,934.0,346.0,0.0,126.0,12.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,27.4,0.0,4.2,19.86
호소,대청호,추동,2015-07-20,8.8,8.2,13.3,2.9,1.7,4.5,532.0,400.0,18.0,0.0,114.0,6.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,27.4,0.0,4.2,19.86
호소,대청호,문의,2015-07-20,8.8,8.2,13.3,2.9,1.7,4.5,366.0,0.0,98.0,0.0,268.0,11.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,27.4,0.0,4.2,19.86
호소,대청호,문의,2015-07-27,8.8,8.2,13.3,2.9,1.7,4.5,64.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,25.7,4.0,2.3,8.13
호소,대청호,추동,2015-07-27,8.8,8.2,13.3,2.9,1.7,4.5,68.0,0.0,0.0,0.0,68.0,9.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,25.7,4.0,2.3,8.13
호소,대청호,회남,2015-07-27,8.8,8.2,13.3,2.9,1.7,4.5,1044.0,836.0,164.0,0.0,44.0,18.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,25.7,4.0,2.3,8.13
호소,대청호,회남,2015-08-03,8.8,8.2,13.3,2.9,1.7,4.5,914.0,720.0,0.0,0.0,194.0,19.0,40.0,0.0,0.7,0.0,0.0,0.0,0.0,29.0,0.0,13.0,27.86
호소,대청호,문의,2015-08-03,8.8,8.2,13.3,2.9,1.7,4.5,502.0,270.0,146.0,0.0,86.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,29.0,0.0,13.0,27.86
호소,대청호,추동,2015-08-03,8.8,8.2,13.3,2.9,1.7,4.5,70.0,42.0,0.0,0.0,28.0,11.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,29.0,0.0,13.0,27.86
호소,대청호,문의,2015-08-10,8.8,8.2,13.3,2.9,1.7,4.5,28.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,26.3,0.0,1.6,14.28
호소,대청호,추동,2015-08-10,8.8,8.2,13.3,2.9,1.7,4.5,58.0,0.0,32.0,0.0,26.0,14.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,26.3,0.0,1.6,14.28
호소,대청호,회남,2015-08-10,8.8,8.2,13.3,2.9,1.7,4.5,1020.0,884.0,0.0,14.0,122.0,12.0,48.0,0.0,0.7,0.0,0.0,0.0,0.0,26.3,0.0,1.6,14.28
호소,대청호,문의,2015-08-17,8.8,8.2,13.3,2.9,1.7,4.5,486.0,60.0,0.0,0.0,426.0,40.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,26.8,0.0,11.2,23.9
호소,대청호,추동,2015-08-17,8.8,8.2,13.3,2.9,1.7,4.5,84.0,0.0,0.0,0.0,84.0,10.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,26.8,0.0,11.2,23.9
호소,대청호,회남,2015-08-17,8.8,8.2,13.3,2.9,1.7,4.5,336.0,318.0,0.0,18.0,0.0,0.0,29.0,0.0,0.7,0.0,0.0,0.0,0.0,26.8,0.0,11.2,23.9
호소,대청호,문의,2015-08-24,8.8,8.2,13.3,2.9,1.7,4.5,374.0,220.0,0.0,0.0,154.0,26.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,26.5,0.0,4.3,15.03
호소,대청호,회남,2015-08-24,8.8,8.2,13.3,2.9,1.7,4.5,922.0,120.0,0.0,610.0,192.0,10.0,24.0,0.0,0.7,0.0,0.0,0.0,0.0,26.5,0.0,4.3,15.03
호소,대청호,추동,2015-08-24,8.8,8.2,13.3,2.9,1.7,4.5,504.0,140.0,0.0,48.0,316.0,77.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,26.5,0.0,4.3,15.03
호소,대청호,문의,2015-08-31,8.8,8.2,13.3,2.9,1.7,4.5,532.0,0.0,268.0,0.0,264.0,11.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,25.3,0.0,10.0,20.98
호소,대청호,추동,2015-08-31,8.8,8.2,13.3,2.9,1.7,4.5,478.0,264.0,46.0,26.0,142.0,12.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,25.3,0.0,10.0,20.98
호소,대청호,회남,2015-08-31,8.8,8.2,13.3,2.9,1.7,4.5,1702.0,1280.0,42.0,220.0,160.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,25.3,0.0,10.0,20.98
호소,대청호,문의,2015-09-07,8.8,8.2,13.3,2.9,1.7,4.5,288.0,0.0,24.0,0.0,264.0,15.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,22.6,0.0,12.2,26.26
호소,대청호,추동,2015-09-07,8.8,8.2,13.3,2.9,1.7,4.5,2044.0,0.0,56.0,1446.0,542.0,4.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,22.6,0.0,12.2,26.26
호소,대청호,회남,2015-09-07,8.8,8.2,13.3,2.9,1.7,4.5,814.0,0.0,266.0,212.0,336.0,12.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,22.6,0.0,12.2,26.26
호소,대청호,문의,2015-09-14,8.8,8.2,13.3,2.9,1.7,4.5,1008.0,356.0,338.0,0.0,314.0,41.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,19.9,0.0,11.1,22.54
호소,대청호,추동,2015-09-14,8.8,8.2,13.3,2.9,1.7,4.5,1540.0,780.0,274.0,0.0,486.0,39.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,19.9,0.0,11.1,22.54
호소,대청호,회남,2015-09-14,8.8,8.2,13.3,2.9,1.7,4.5,600.0,0.0,172.0,86.0,342.0,16.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,19.9,0.0,11.1,22.54
호소,대청호,추동,2015-09-21,8.8,8.2,13.3,2.9,1.7,4.5,1566.0,880.0,74.0,152.0,460.0,12.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,21.9,0.0,10.6,21.9
호소,대청호,문의,2015-09-21,8.8,8.2,13.3,2.9,1.7,4.5,2294.0,1020.0,116.0,882.0,276.0,24.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,21.9,0.0,10.6,21.9
호소,대청호,회남,2015-09-21,8.8,8.2,13.3,2.9,1.7,4.5,990.0,520.0,36.0,24.0,410.0,5.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,21.9,0.0,10.6,21.9
호소,대청호,문의,2015-09-30,8.8,8.2,13.3,2.9,1.7,4.5,942.0,0.0,106.0,0.0,836.0,26.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,21.1,0.0,1.7,11.49
호소,대청호,추동,2015-09-30,8.8,8.2,13.3,2.9,1.7,4.5,2014.0,320.0,36.0,350.0,1308.0,14.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,21.1,0.0,1.7,11.49
호소,대청호,회남,2015-09-30,8.8,8.2,13.3,2.9,1.7,4.5,1770.0,720.0,62.0,44.0,944.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,21.1,0.0,1.7,11.49
호소,대청호,문의,2015-10-05,8.8,8.2,13.3,2.9,1.7,4.5,676.0,0.0,138.0,102.0,436.0,16.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,17.8,0.0,10.8,19.85
호소,대청호,회남,2015-10-05,8.8,8.2,13.3,2.9,1.7,4.5,788.0,324.0,64.0,44.0,356.0,0.0,9.0,0.0,0.7,0.0,0.0,0.0,0.0,17.8,0.0,10.8,19.85
호소,대청호,추동,2015-10-05,8.8,8.2,13.3,2.9,1.7,4.5,1074.0,516.0,0.0,22.0,536.0,21.0,10.0,0.0,0.7,0.0,0.0,0.0,0.0,17.8,0.0,10.8,19.85
호소,대청호,문의,2015-10-12,8.8,8.2,13.3,2.9,1.7,4.5,726.0,320.0,100.0,0.0,306.0,22.0,11.0,0.0,0.7,0.0,0.0,0.0,0.0,13.6,0.7,8.3,16.28
호소,대청호,회남,2015-10-12,8.8,8.2,13.3,2.9,1.7,4.5,886.0,0.0,58.0,48.0,780.0,5.0,31.0,0.0,0.7,0.0,0.0,0.0,0.0,13.6,0.7,8.3,16.28
