채수위치,조사일,수온(℃),pH,DO(㎎/L),투명도,탁도,Chl-a (㎎/㎥),유해남조류 세포수 (cells/㎖),수위(EL.m),저수량(백만㎥),저수율(%),강우량(mm),유입량(㎥/s),총방류량(㎥/s),평균기온(°C),일강수량(mm),합계 일조시간(hr),합계 일사량(MJ/m2),TN(㎎/L),TP(㎎/L),NP_Ratio,Retention_Index,7일뒤_AI예측_세포수,조류경보제 발령 예상
회남,2016-11-21,15.1,7.6,8.8,3.0,3.1,5.0,0.0,72.84,949.0,63.7,0.4316,18.787,31.933,8.7,0.1,0.0,2.33,,,,29.718473052954625,1450.0,관심
회남,2016-12-05,12.7,7.4,8.9,3.2,1.9,6.0,66.0,72.55,932.621,62.6,0.0,12.735,32.256,8.9,0.2,3.7,6.22,,,,28.913101438492063,817.0,해제
회남,2016-12-12,11.3,7.5,9.1,3.8,1.8,4.6,0.0,72.43,925.892,62.1,0.0,21.906,28.383,4.3,0.0,6.5,8.18,,,,32.621357855054086,457.0,해제
회남,2016-12-19,10.4,8.4,9.6,4.4,1.6,3.5,84.0,72.29,918.078,61.6,2.6928,15.676,28.568,7.8,1.8,0.9,3.97,,,,32.136586390366844,0.0,해제
회남,2016-12-26,9.5,8.4,9.9,1.3,3.1,2.5,140.0,72.34,920.864,61.8,11.6639,41.378,28.472,3.1,10.8,0.0,1.48,,,,32.34279291935937,595.0,해제
회남,2017-01-09,7.9,8.4,11.0,4.2,1.9,1.9,28.0,72.39,923.656,62.0,0.0974,15.215,28.153,4.3,0.0,6.4,8.35,,,,32.80843959791141,151.0,해제
회남,2017-01-23,6.3,7.7,10.8,5.7,1.5,2.9,34.0,72.18,911.966,61.2,0.0273,21.941,28.361,-6.5,0.0,8.9,14.14,,,,32.155636261062725,0.0,해제
회남,2017-02-13,4.9,7.1,11.9,6.3,1.1,2.1,176.0,71.79,890.488,59.8,0.3237,15.905,28.569,0.3,0.6,5.7,11.33,,,,31.169729427001297,0.0,해제
회남,2017-02-20,5.1,7.8,12.2,3.5,2.8,2.1,142.0,71.68,884.484,59.4,16.4878,28.326,28.326,1.3,15.3,7.0,15.09,,,,31.225164160135567,311.0,해제
회남,2017-03-06,5.4,7.9,12.4,2.9,2.4,2.3,36.0,72.09,906.983,60.9,0.0505,21.771,28.17,1.8,0.0,10.8,21.82,,,,32.19676961306354,311.0,해제
회남,2017-03-20,6.6,7.5,12.7,4.1,3.2,2.0,256.0,71.94,898.713,60.3,0.9673,22.42,28.785,8.6,0.1,2.3,7.39,,,,31.221573736321,237.0,해제
회남,2017-03-27,6.7,7.7,12.5,2.9,1.4,1.8,68.0,71.83,892.677,59.9,2.4137,22.769,29.109,6.4,1.6,5.2,10.9,,,,30.666701020303,692.0,해제
회남,2017-04-17,8.9,7.9,12.0,5.2,3.2,2.1,0.0,71.94,898.713,60.3,20.059,42.955,30.232,13.7,26.8,1.9,3.39,,,,29.72720957925377,0.0,해제
회남,2017-06-26,15.0,8.4,7.9,2.2,1.7,3.0,0.0,67.71,683.543,45.9,7.3157,13.381,61.787,23.9,1.8,4.1,15.51,,,,11.06289348892162,442.0,해제
회남,2017-07-03,16.1,7.9,5.8,3.9,1.6,2.4,0.0,67.78,686.794,46.1,59.3482,218.4,47.361,25.3,69.9,0.6,8.72,,,,14.501256307932689,123.0,해제
회남,2017-07-10,16.8,8.1,6.2,2.6,4.0,3.3,964.0,69.84,787.273,52.8,7.4904,208.715,26.742,25.8,35.0,0.6,7.68,,,,29.43957071273652,1497.0,관심
회남,2017-07-17,19.8,8.3,6.3,2.5,10.6,7.9,4402.0,71.27,862.314,57.9,8.7191,207.667,28.468,25.6,7.1,0.0,8.58,,,,30.290642124490656,2816.0,관심
회남,2017-07-24,18.8,8.3,6.8,1.9,6.4,6.4,4594.0,71.65,882.85,59.3,9.8736,45.252,32.661,28.8,0.7,0.0,8.75,,,,27.030709408774992,2988.0,관심
회남,2017-07-31,19.8,8.2,5.2,0.9,7.2,13.2,38964.0,72.27,916.965,61.5,24.6416,105.136,28.029,25.1,29.2,0.0,3.86,,,,32.714866745156804,11629.0,경계
회남,2017-08-10,20.8,8.1,4.6,1.5,6.6,7.2,18724.0,73.0,958.109,64.3,6.822,73.09,33.487,26.4,3.8,4.0,14.59,,,,28.61137157702989,5073.0,관심
회남,2017-08-14,20.1,8.5,4.6,0.5,17.2,25.4,85734.0,73.38,979.947,65.8,60.365,207.751,27.812,22.4,65.0,0.2,6.15,,,,35.234682870703296,21807.0,경계
회남,2017-08-17,19.4,7.8,3.9,1.0,10.3,19.4,63944.0,75.11,1083.071,72.7,10.6647,310.669,56.459,25.7,1.2,5.2,17.79,,,,19.18331886855948,12098.0,경계
회남,2017-08-21,20.1,8.2,6.5,0.4,26.6,38.7,206126.0,74.87,1068.399,71.7,21.5679,137.929,236.821,24.7,36.1,0.1,6.86,,,,4.511420017650462,28906.0,경계
회남,2017-08-24,20.7,8.1,5.5,0.8,32.1,13.9,77554.0,74.61,1052.638,70.7,23.3974,189.418,238.373,27.5,49.8,3.0,9.99,,,,4.415927978420375,11456.0,경계
회남,2017-08-28,21.4,8.5,5.1,1.0,8.7,9.4,31940.0,74.3,1034.027,69.4,13.679,107.174,238.924,24.8,35.2,3.8,12.7,,,,4.327849023120323,8861.0,관심
회남,2017-09-11,22.2,8.0,4.5,2.6,5.5,5.1,2854.0,74.12,1023.311,68.7,57.5816,139.915,30.308,20.4,77.0,0.3,6.29,,,,33.763725748977166,3533.0,관심
회남,2017-11-13,17.2,7.7,8.0,3.0,2.2,6.7,38.0,73.88,1009.125,67.7,0.0525,17.479,37.928,7.3,0.0,1.5,6.49,,,,26.60633305209872,1900.0,관심
회남,2017-12-04,12.4,7.7,9.1,2.9,2.2,3.5,0.0,73.23,971.292,65.2,0.5061,8.608,28.601,2.3,0.0,7.4,11.67,,,,33.960071326177406,380.0,해제
회남,2017-12-11,10.9,7.7,9.4,3.5,2.0,3.9,0.0,73.07,962.11,64.6,0.0,8.518,28.4,-4.2,0.6,2.4,6.19,,,,33.87711267605634,0.0,해제
회남,2017-12-18,9.2,7.8,10.1,2.9,1.6,4.1,0.0,72.87,950.704,63.8,0.0,15.426,28.585,1.0,0.0,7.0,9.51,,,,33.25884205002623,425.0,해제
회남,2017-12-26,7.9,7.8,11.2,4.1,1.4,7.3,0.0,72.61,935.996,62.8,0.0273,7.711,27.274,-1.1,0.3,5.5,4.31,,,,34.3182518149153,150.0,해제
회남,2018-01-08,6.6,7.7,12.3,4.6,2.0,4.9,0.0,72.34,920.864,61.8,2.2279,15.521,28.436,1.5,3.6,0.0,1.05,,,,32.38373892249262,0.0,해제
회남,2018-01-22,5.6,7.5,11.4,5.6,1.2,3.5,0.0,72.1,907.536,60.9,2.5861,22.029,28.431,3.0,0.8,1.2,6.34,,,,31.920649994724062,0.0,해제
회남,2018-03-05,4.5,7.7,13.1,4.5,2.0,4.4,0.0,71.24,860.705,57.8,19.4853,54.139,29.336,6.6,18.6,0.0,4.88,,,,29.339548677392965,0.0,해제
회남,2018-03-19,5.8,8.3,13.2,2.9,4.0,4.9,0.0,72.35,921.422,61.8,19.459,87.158,29.132,8.3,22.0,0.0,2.91,,,,31.62920499794041,0.0,해제
회남,2018-04-23,9.2,7.3,10.5,3.0,3.5,6.1,0.0,74.94,1072.666,72.0,26.2345,65.566,58.503,11.4,38.9,0.0,1.07,,,,18.335230671931352,787.0,해제
회남,2018-06-04,14.5,7.9,8.0,3.7,1.6,3.4,284.0,73.12,964.974,64.8,0.0,31.198,84.355,23.5,0.0,7.8,24.41,,,,11.43944045996088,0.0,해제
회남,2018-06-11,15.1,8.2,9.2,1.4,2.6,11.2,772.0,72.35,921.422,61.8,0.5975,13.305,84.478,20.4,0.0,1.1,13.74,,,,10.907242122209334,3537.0,관심
회남,2018-07-02,16.1,7.8,5.3,2.0,15.2,6.7,398.0,71.59,879.589,59.0,67.3632,728.254,202.241,22.8,43.9,0.2,5.7,,,,4.34921207865863,1393.0,관심
회남,2018-07-09,18.6,8.0,5.9,2.0,7.1,9.9,208.0,72.16,910.857,61.1,13.625,109.392,173.648,20.5,35.5,0.0,3.94,,,,5.245421772781719,3295.0,관심
회남,2018-08-13,22.0,8.4,4.5,1.5,5.3,7.1,6190.0,70.71,832.563,55.9,0.5717,18.331,54.888,31.2,0.0,9.1,21.87,,,,15.168397463926542,651.0,해제
회남,2018-08-27,22.2,8.0,3.4,1.4,10.0,12.3,4896.0,72.45,927.012,62.2,65.5486,1607.661,105.798,23.6,53.0,0.0,4.0,,,,8.76209380139511,1624.0,관심
회남,2018-09-03,20.3,8.1,5.9,0.5,20.0,20.9,47190.0,75.3,1094.771,73.5,25.354,280.296,503.097,24.4,89.8,1.6,10.93,,,,2.1760634629107307,13085.0,경계
회남,2018-09-13,21.6,7.7,6.1,0.8,17.3,12.7,22230.0,75.31,1095.389,73.5,0.0,43.805,36.654,21.6,0.1,0.7,7.15,,,,29.88456921481966,7826.0,관심
회남,2018-10-01,21.3,6.9,4.9,1.6,5.7,16.8,658.0,75.31,1095.389,73.5,1.836,29.459,29.459,15.5,1.7,5.1,14.3,,,,37.18350928408975,3595.0,관심
회남,2018-10-29,18.2,7.1,7.4,2.6,2.7,10.1,402.0,75.83,1127.803,75.7,0.8519,36.972,29.696,9.1,0.2,3.2,7.29,,,,37.978279903017246,1731.0,관심
회남,2018-12-03,13.3,7.5,9.9,3.9,1.3,10.2,170.0,75.78,1124.662,75.5,9.2906,29.933,29.933,12.6,10.6,0.0,1.92,,,,37.57264557511776,822.0,해제
회남,2018-12-17,10.1,7.3,10.1,3.9,1.6,4.8,676.0,75.8,1125.918,75.6,0.0,22.453,29.724,3.6,0.1,7.2,10.18,,,,37.879087605974966,0.0,해제
회남,2019-01-28,5.4,7.6,11.6,4.5,1.3,3.9,144.0,75.06,1080.004,72.5,0.3562,7.876,29.164,2.3,0.8,8.4,12.31,,,,37.03209436291318,0.0,해제
회남,2019-02-07,4.7,7.7,12.2,4.3,1.5,3.7,44.0,74.93,1072.056,72.0,0.0,22.093,29.156,1.8,0.0,7.0,12.59,,,,36.7696529016326,0.0,해제
회남,2019-02-18,4.7,7.8,11.1,4.1,1.7,4.6,94.0,74.73,1059.895,71.1,0.0,15.143,29.175,1.9,0.1,4.3,10.72,,,,36.32887746358183,0.0,해제
회남,2019-03-11,5.3,7.8,12.7,3.4,2.6,5.0,68.0,74.49,1045.41,70.2,0.9668,15.398,29.316,5.7,0.8,2.5,9.52,,,,35.66004911993451,215.0,해제
회남,2019-04-01,6.5,7.8,12.4,3.2,2.5,4.1,0.0,74.2,1028.066,69.0,0.0,15.83,29.611,6.1,0.0,8.6,18.98,,,,34.719057107156125,0.0,해제
회남,2019-04-29,8.8,8.3,11.3,2.2,2.9,6.7,0.0,74.4,1040.009,69.8,21.1282,65.849,31.202,11.0,16.6,1.1,7.1,,,,33.33148516120762,1654.0,관심
회남,2019-05-13,10.8,8.4,11.3,2.0,3.1,6.1,0.0,74.01,1016.795,68.2,0.0,10.642,65.464,20.1,0.0,8.0,21.85,,,,15.53212452645729,624.0,해제
회남,2019-05-20,11.1,8.3,10.4,1.8,2.5,6.3,0.0,73.55,989.811,66.4,2.1205,24.496,64.951,17.1,6.0,8.0,24.19,,,,15.239349663592556,790.0,해제
회남,2019-05-27,11.2,8.3,9.9,2.5,4.5,6.4,508.0,73.05,960.966,64.5,15.5104,12.653,59.044,17.9,14.4,0.0,4.12,,,,16.275421719395705,1305.0,관심
회남,2019-06-10,11.9,8.6,10.5,3.0,2.8,4.4,56.0,72.35,921.422,61.8,8.3429,46.272,39.816,18.9,11.1,2.2,18.56,,,,23.142003214788023,1499.0,관심
회남,2019-07-08,13.6,8.5,6.2,3.1,2.3,3.8,74.0,70.56,824.697,55.4,0.0,18.465,60.888,24.5,0.6,8.6,23.87,,,,13.54449152542373,134.0,해제
회남,2019-07-15,15.3,8.8,3.9,3.5,4.3,2.4,0.0,70.42,817.395,54.9,15.6161,63.591,39.523,23.8,12.8,2.3,12.99,,,,20.681501910280087,624.0,해제
회남,2019-07-22,16.6,8.2,3.1,2.7,6.1,3.9,850.0,71.85,893.772,60.0,0.055,463.728,31.435,27.9,0.0,8.2,21.55,,,,28.432384285032608,426.0,해제
회남,2019-08-12,19.8,8.6,3.9,1.8,4.2,6.9,744.0,72.59,934.87,62.7,0.4439,21.235,53.828,29.0,1.3,1.7,11.4,,,,17.36772683361819,3621.0,관심
회남,2019-09-02,19.6,10.0,3.6,1.8,4.8,6.2,2240.0,72.27,916.965,61.5,14.6374,32.198,45.081,22.6,10.2,0.2,10.34,,,,20.34038730285486,3889.0,관심
회남,2019-09-09,19.4,9.4,3.3,1.7,9.9,7.9,3328.0,72.73,942.767,63.3,6.2446,129.798,44.907,24.0,12.1,0.0,6.83,,,,20.99376489188768,4464.0,관심
회남,2019-09-23,19.3,7.4,4.1,2.8,8.8,4.5,2614.0,74.99,1075.72,72.2,0.274,1044.527,36.744,17.8,0.1,4.2,14.12,,,,29.2760722839103,1257.0,관심
회남,2019-10-07,19.4,7.4,4.8,2.5,7.3,5.4,2024.0,76.92,1197.588,80.4,8.8838,103.491,224.497,15.7,11.8,0.0,3.77,,,,5.33453899161236,2518.0,관심
회남,2019-11-11,18.0,7.8,8.7,2.7,3.9,12.1,954.0,75.63,1115.27,74.9,3.0976,21.32,28.55,11.7,1.3,2.3,6.03,,,,39.06374781085814,2511.0,관심
회남,2019-11-18,16.7,7.7,8.2,2.8,3.6,7.8,928.0,75.63,1115.27,74.9,17.5771,57.585,28.687,7.7,15.3,2.6,6.74,,,,38.87719175933349,1813.0,관심
회남,2019-12-02,13.7,7.6,8.7,3.4,2.1,5.2,532.0,75.51,1107.789,74.4,0.1597,14.397,28.802,2.7,0.0,7.3,11.01,,,,38.46222484549684,0.0,해제
회남,2019-12-23,10.4,7.6,9.5,3.8,2.0,3.1,598.0,75.1,1082.457,72.7,0.0851,15.158,29.367,3.8,0.1,2.9,6.74,,,,36.85963836959853,0.0,해제
회남,2019-12-30,9.8,7.6,9.7,4.5,2.1,3.9,160.0,74.97,1074.498,72.1,2.0788,15.16,29.307,4.2,1.5,0.7,3.84,,,,36.66352748490122,0.0,해제
회남,2020-01-06,8.9,7.7,9.9,5.0,2.2,3.7,88.0,74.85,1067.182,71.6,11.1622,22.475,29.518,2.9,10.3,0.0,1.9,,,,36.15360119249272,0.0,해제
회남,2020-01-13,8.1,7.7,10.3,4.2,2.9,3.4,338.0,75.65,1116.519,74.9,0.0,57.886,28.969,0.2,0.0,4.2,6.83,,,,38.54185508647174,0.0,해제
회남,2020-01-20,7.1,7.4,10.5,4.2,3.0,3.6,122.0,75.69,1119.021,75.1,0.0,29.33,29.33,3.4,0.0,6.9,11.72,,,,38.1527787248551,0.0,해제
회남,2020-01-28,7.0,7.5,11.0,3.6,2.3,3.4,244.0,75.64,1115.894,74.9,0.1179,22.382,29.615,6.3,0.0,2.0,8.18,,,,37.68002701333784,0.0,해제
회남,2020-02-03,6.8,7.4,10.9,5.0,3.6,3.1,258.0,75.66,1117.144,75.0,0.0,22.569,29.807,1.5,0.0,8.4,13.78,,,,37.479249840641465,0.0,해제
회남,2020-02-17,6.6,7.5,11.3,3.8,11.8,7.1,92.0,75.58,1112.149,74.6,0.5626,29.486,29.486,-3.2,0.7,4.7,9.97,,,,37.71786610594858,0.0,해제
회남,2020-02-24,6.8,7.6,11.4,4.8,4.6,2.9,32.0,75.57,1111.526,74.6,0.0,29.633,29.633,7.4,0.4,9.9,18.12,,,,37.50973576755644,0.0,해제
회남,2020-03-09,7.3,7.6,11.8,3.9,2.4,3.2,0.0,76.09,1144.222,76.8,2.2364,29.681,29.681,10.0,1.6,4.8,11.24,,,,38.55065530137124,0.0,해제
회남,2020-04-20,9.4,7.5,9.3,4.2,2.7,2.9,0.0,73.7,998.563,67.0,0.3031,38.007,44.779,11.0,0.0,3.1,13.08,,,,22.29980571249916,121.0,해제
회남,2020-04-27,9.9,7.6,9.5,4.0,2.9,1.8,0.0,73.48,985.742,66.2,0.0,16.136,49.761,12.1,0.0,9.3,20.92,,,,19.809529551255,0.0,해제
회남,2020-05-11,11.6,7.5,8.6,5.2,3.0,1.5,0.0,73.02,959.251,64.4,0.0,31.012,44.241,18.5,0.0,10.6,27.85,,,,21.682398679957505,0.0,해제
회남,2020-05-18,12.7,7.8,8.5,4.3,4.7,2.0,0.0,72.9,952.41,63.9,20.5794,59.037,45.873,20.2,7.6,8.0,22.43,,,,20.76188607677719,0.0,해제
회남,2020-06-01,14.2,8.0,8.2,3.6,4.3,8.1,70.0,72.54,952.503,62.6,0.4308,12.661,59.159,21.1,0.6,11.6,31.05,,,,16.100728545107255,0.0,해제
회남,2020-06-29,16.0,8.4,6.9,1.3,4.6,10.7,460.0,73.17,967.843,65.0,34.7162,66.525,53.236,22.4,41.5,0.4,10.18,,,,18.180235179202043,6393.0,관심
회남,2020-07-06,16.7,7.7,3.5,1.6,4.9,7.0,72.0,72.39,923.656,62.0,30.6228,49.453,159.721,24.3,0.2,5.0,19.73,,,,5.782933991147062,2185.0,관심
회남,2020-07-13,18.7,7.4,2.6,2.1,4.7,6.5,438.0,74.4,1040.009,69.8,86.0751,1824.759,176.664,18.8,117.9,0.0,3.26,,,,5.8869322555812165,289.0,해제
회남,2020-07-20,18.4,7.5,6.4,1.3,14.0,10.1,976.0,75.04,1078.779,72.4,23.6289,169.897,505.661,24.5,20.2,0.2,4.44,,,,2.133403604391084,3519.0,관심
회남,2020-07-27,20.3,8.1,8.1,1.4,17.9,17.4,3134.0,75.7,1119.647,75.1,3.4418,587.659,791.498,24.4,2.6,0.3,11.05,,,,1.414592329986936,3640.0,관심
회남,2020-08-04,22.6,8.0,8.9,1.1,106.0,21.5,8934.0,73.61,993.306,66.7,7.7525,420.762,1219.536,27.5,18.5,4.4,17.45,,,,0.814495021057189,1583.0,관심
회남,2020-08-12,21.4,8.4,8.9,0.2,104.0,2.3,0.0,74.41,1040.608,69.8,7.2129,1836.91,2831.561,27.3,17.5,1.7,10.77,,,,0.3675032958852025,0.0,해제
회남,2020-08-31,23.2,8.1,6.7,1.7,28.1,9.3,5238.0,72.8,946.7308,63.5,1.0611,246.666,50.867,26.7,0.1,6.2,18.31,,,,18.61188589851967,2893.0,관심
회남,2020-09-08,23.1,6.9,6.8,0.5,43.6,9.3,2534.0,71.91,897.064,60.2,0.1676,792.523,39.896,24.3,0.2,11.0,23.34,,,,22.48506115901344,1468.0,관심
회남,2020-10-12,21.3,8.1,5.8,1.5,10.3,8.3,2828.0,73.7,998.563,67.0,0.0,23.944,30.716,17.1,0.4,5.6,12.18,,,,32.50953900247428,4056.0,관심
회남,2020-11-09,16.9,8.0,7.5,2.1,10.3,7.1,0.0,73.11,985.508,66.1,0.0,14.99,28.534,7.2,0.0,9.2,13.13,,,,34.53802481250438,1407.0,관심
회남,2020-12-21,9.6,8.4,9.8,3.1,4.0,3.0,0.0,72.29,938.237,63.0,0.055,11.021,30.756,0.4,0.0,4.2,7.04,,,,30.50582000260112,315.0,해제
회남,2021-01-18,5.7,8.8,11.5,4.0,2.2,3.3,0.0,71.53,895.6574,60.1,1.1927,14.644,33.837,-1.5,3.3,2.3,5.97,,,,26.469763867955194,0.0,해제
회남,2021-02-01,5.1,7.6,11.7,4.0,2.9,3.6,0.0,71.21,878.084,58.93,7.9907,12.932,31.896,7.3,8.1,3.1,7.52,,,,27.52959618760973,663.0,해제
회남,2021-02-15,4.9,8.0,12.7,3.2,1.6,9.6,0.0,70.85,858.567,57.6,1.4491,12.613,31.32,3.0,0.5,4.7,7.48,,,,27.41273946360153,1172.0,관심
회남,2021-03-02,5.0,8.0,12.8,2.8,2.6,10.4,0.0,70.58,844.103,56.7,1.872,68.165,31.201,3.0,0.2,2.5,8.27,,,,27.053716227044003,536.0,해제
회남,2021-03-15,6.9,7.9,12.6,3.6,2.3,3.9,0.0,70.82,856.952,57.5,0.055,43.872,31.427,11.8,0.0,8.6,16.61,,,,27.268017946351865,787.0,해제
회남,2021-03-29,8.3,7.8,11.7,3.2,2.1,2.8,0.0,70.71,851.048,57.1,0.0,31.474,31.474,12.2,0.0,7.9,17.36,,,,27.03971532058207,853.0,해제
회남,2021-04-12,9.1,7.9,11.3,2.0,3.5,3.7,0.0,71.11,872.636,58.6,13.3883,31.244,31.244,13.6,15.3,0.0,5.55,,,,27.929714505185,487.0,해제
회남,2021-05-10,10.9,7.9,9.0,2.9,2.3,4.9,0.0,70.3,829.263,55.7,12.0061,27.91,46.224,12.5,11.1,0.5,4.57,,,,17.940096053997927,678.0,해제
회남,2021-05-17,12.4,7.9,8.3,2.5,4.1,4.7,0.0,70.22,825.052,55.4,4.6873,76.376,45.995,16.4,3.3,0.0,5.66,,,,17.93786281117513,571.0,해제
회남,2021-05-24,12.8,8.0,8.2,2.7,3.4,4.3,0.0,70.4,834.544,56.0,0.0,40.287,46.413,20.2,0.0,7.9,22.54,,,,17.98082433800875,937.0,해제
회남,2021-05-31,13.1,8.2,7.3,2.3,2.0,3.4,0.0,70.54,841.973,56.5,7.8036,73.113,48.499,20.7,7.1,5.0,17.04,,,,17.360625992288497,1059.0,관심
회남,2021-06-14,16.8,8.4,6.0,1.9,1.8,4.2,132.0,70.4,834.544,56.0,0.0,25.737,62.53,24.9,0.0,4.5,17.98,,,,13.346297777067008,743.0,해제
회남,2021-06-28,16.9,8.8,5.3,1.4,2.4,4.9,578.0,69.62,793.893,53.3,0.6283,18.981,60.613,25.6,0.0,7.8,21.43,,,,13.097734809364328,387.0,해제
회남,2021-07-05,17.1,8.4,3.9,2.1,2.9,3.8,640.0,68.74,749.536,50.3,32.0035,59.953,250.31,22.5,5.6,0.0,9.83,,,,2.9944309056769605,417.0,해제
회남,2021-07-12,20.8,8.4,6.7,2.2,27.2,7.2,820.0,71.97,920.164,61.8,0.2117,135.169,245.991,28.7,0.0,6.1,19.5,,,,3.740640917757153,1527.0,관심
회남,2021-07-19,20.8,8.8,5.6,2.0,13.7,4.2,196.0,71.17,875.903,58.8,3.6127,39.169,39.169,26.7,0.0,2.0,15.35,,,,22.362148637953485,2194.0,관심
회남,2021-08-02,20.6,9.5,6.1,1.2,9.6,6.9,120.0,70.77,854.266,57.3,24.0507,102.657,53.028,26.0,34.0,1.3,7.89,,,,16.10971562193558,3194.0,관심
회남,2021-08-17,22.0,7.8,4.4,1.6,7.1,7.9,0.0,70.84,858.028,57.6,0.9144,26.907,58.086,25.5,0.1,7.4,18.23,,,,14.771683366043453,1232.0,관심
회남,2021-08-23,22.5,8.1,3.3,1.5,5.9,7.0,756.0,70.67,848.908,57.0,48.4881,139.555,158.134,22.8,65.0,0.0,2.9,,,,5.368282595773206,3977.0,관심
회남,2021-08-30,22.2,7.6,5.0,2.4,8.6,6.2,784.0,72.91,973.852,65.4,0.0634,431.387,164.402,22.9,0.1,0.3,6.76,,,,5.923601902653253,1448.0,관심
회남,2021-09-06,22.6,7.8,5.4,2.2,5.8,6.4,704.0,73.69,1019.778,68.4,23.6436,109.371,40.416,20.7,32.2,0.1,5.93,,,,25.23203681710214,3974.0,관심
회남,2021-09-27,22.6,7.9,4.7,2.7,3.9,6.6,590.0,74.552,1071.983,72.0,0.0,35.225,40.915,22.2,0.2,4.3,13.49,,,,26.2002444091409,2189.0,관심
회남,2021-10-12,22.5,7.6,4.4,2.7,3.8,6.3,328.0,74.818,1088.4,73.1,4.9582,29.84,31.275,16.2,0.5,0.0,2.68,,,,34.80095923261391,2136.0,관심
회남,2021-11-08,18.3,7.4,6.9,3.1,4.2,4.3,460.0,74.54,1071.246,71.9,15.5008,28.975,31.819,10.3,10.3,1.2,3.1,,,,33.66686570916748,1167.0,관심
회남,2021-11-22,15.6,7.5,8.0,2.7,2.3,4.4,0.0,74.33,1058.3922,71.0,3.639,18.333,32.456,5.3,3.6,4.7,7.37,,,,32.610062854325854,423.0,해제
