분류,지점명,채수위치,조사일,수온(℃),pH,DO(㎎/L),투명도,탁도,Chl-a (㎎/㎥),유해남조류 세포수 (cells/㎖),유해남조류 우점종 및 세포수(속별),유해남조류 우점종 및 세포수(속별).1,유해남조류 우점종 및 세포수(속별).2,유해남조류 우점종 및 세포수(속별).3,냄새물질 (ng/L),냄새물질 (ng/L).1,조류독소(㎍/L),조류독소(㎍/L).1,조류독소(㎍/L).2,조류독소(㎍/L).3,조류독소(㎍/L).4,조류독소(㎍/L).5,평균기온(°C),일강수량(mm),합계 일조시간(hr),합계 일사량(MJ/m2),TN(㎎/L),TP(㎎/L),수위(EL.m),저수량(백만㎥),저수율(%),강우량(mm),유입량(㎥/s),총방류량(㎥/s),N_P_비율,체류시간_지표
호소,대청호,회남,2015-02-02,8.8,8.2,13.3,2.9,1.7,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,-0.5,0.0,8.0,13.14,,,72.83,948.432,63.7,0.0,34.534,60.825,,15.567205580631924
호소,대청호,문의,2015-02-02,8.8,8.2,13.3,2.9,1.7,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,-0.5,0.0,8.0,13.14,1.615,0.01,72.83,948.432,63.7,0.0,34.534,60.825,161.49998385000163,15.567205580631924
호소,대청호,추동,2015-02-02,8.8,8.2,13.3,2.9,1.7,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,-0.5,0.0,8.0,13.14,1.121,0.016,72.83,948.432,63.7,0.0,34.534,60.825,70.06249562109403,15.567205580631924
호소,대청호,문의,2015-02-09,8.8,8.2,13.3,2.9,1.7,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,-4.5,0.0,9.1,14.99,1.475,0.009,72.58,934.307,62.7,0.0,24.158,63.262,163.8888706790144,14.745541491745842
호소,대청호,추동,2015-02-09,8.8,8.2,13.3,2.9,1.7,4.5,16.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,-4.5,0.0,9.1,14.99,,,72.58,934.307,62.7,0.0,24.158,63.262,,14.745541491745842
호소,대청호,회남,2015-02-09,8.8,8.2,13.3,2.9,1.7,4.5,68.0,0.0,0.0,0.0,68.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,-4.5,0.0,9.1,14.99,,,72.58,934.307,62.7,0.0,24.158,63.262,,14.745541491745842
호소,대청호,문의,2015-02-16,8.8,8.2,13.3,2.9,1.7,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,4.8,17.0,0.0,1.33,1.492,0.007,72.25,915.853,61.5,14.7602,41.117,60.431,213.1428266938819,15.130313393137401
호소,대청호,추동,2015-02-16,8.8,8.2,13.3,2.9,1.7,4.5,52.0,0.0,0.0,0.0,52.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,4.8,17.0,0.0,1.33,,,72.25,915.853,61.5,14.7602,41.117,60.431,,15.130313393137401
호소,대청호,회남,2015-02-16,8.8,8.2,13.3,2.9,1.7,4.5,56.0,0.0,56.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,4.8,17.0,0.0,1.33,,,72.25,915.853,61.5,14.7602,41.117,60.431,,15.130313393137401
호소,대청호,추동,2015-02-23,8.8,8.2,13.3,2.9,1.7,4.5,132.0,0.0,0.0,0.0,132.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,3.0,0.0,6.9,15.66,,,72.13,909.196,61.0,0.0,42.64,55.459,,16.364513400169187
호소,대청호,문의,2015-02-23,8.8,8.2,13.3,2.9,1.7,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,3.0,0.0,6.9,15.66,1.436,0.006,72.13,909.196,61.0,0.0,42.64,55.459,239.33329344445107,16.364513400169187
호소,대청호,회남,2015-02-23,8.8,8.2,13.3,2.9,1.7,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,3.0,0.0,6.9,15.66,,,72.13,909.196,61.0,0.0,42.64,55.459,,16.364513400169187
호소,대청호,회남,2015-03-02,8.8,8.2,13.3,2.9,1.7,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,3.8,0.0,10.5,20.08,,,72.0,902.016,60.5,0.0,32.909,45.669,,19.70801197316961
호소,대청호,문의,2015-03-02,8.8,8.2,13.3,2.9,1.7,4.5,48.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,3.8,0.0,10.5,20.08,1.458,0.006,72.0,902.016,60.5,0.0,32.909,45.669,242.99995950000672,19.70801197316961
호소,대청호,추동,2015-03-02,8.8,8.2,13.3,2.9,1.7,4.5,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,3.8,0.0,10.5,20.08,,,72.0,902.016,60.5,0.0,32.909,45.669,,19.70801197316961
호소,대청호,회남,2015-03-09,8.8,8.2,13.3,2.9,1.7,4.5,158.0,0.0,0.0,0.0,158.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,4.4,0.0,9.1,18.79,,,71.75,888.302,59.6,0.0,22.66,60.625,,14.6282750102923
호소,대청호,추동,2015-03-09,8.8,8.2,13.3,2.9,1.7,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,4.4,0.0,9.1,18.79,,,71.75,888.302,59.6,0.0,22.66,60.625,,14.6282750102923
호소,대청호,문의,2015-03-09,8.8,8.2,13.3,2.9,1.7,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,4.4,0.0,9.1,18.79,1.53,0.007,71.75,888.302,59.6,0.0,22.66,60.625,218.57139734694323,14.6282750102923
호소,대청호,회남,2015-03-16,8.8,8.2,13.3,2.9,1.7,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,10.3,0.0,9.3,19.06,,,71.47,873.088,58.6,0.0,29.14,60.454,,14.418337351785182
호소,대청호,추동,2015-03-16,8.8,8.2,13.3,2.9,1.7,4.5,94.0,0.0,0.0,0.0,94.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,10.3,0.0,9.3,19.06,,,71.47,873.088,58.6,0.0,29.14,60.454,,14.418337351785182
호소,대청호,문의,2015-03-16,8.8,8.2,13.3,2.9,1.7,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,10.3,0.0,9.3,19.06,1.469,0.008,71.47,873.088,58.6,0.0,29.14,60.454,183.6249770468779,14.418337351785182
호소,대청호,추동,2015-03-23,8.8,8.2,13.3,2.9,1.7,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,5.3,0.0,11.6,24.63,,,71.68,884.484,59.4,0.0,67.272,60.968,,14.483592061308704
호소,대청호,문의,2015-03-23,8.8,8.2,13.3,2.9,1.7,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,5.3,0.0,11.6,24.63,1.617,0.006,71.68,884.484,59.4,0.0,67.272,60.968,269.4999550833408,14.483592061308704
호소,대청호,회남,2015-03-23,8.8,8.2,13.3,2.9,1.7,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,5.3,0.0,11.6,24.63,,,71.68,884.484,59.4,0.0,67.272,60.968,,14.483592061308704
호소,대청호,회남,2015-03-30,8.8,8.2,13.3,2.9,1.7,4.5,14.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,14.8,0.0,10.3,22.87,,,71.65,882.85,59.3,0.0,26.984,33.283,,26.446095317976216
호소,대청호,문의,2015-03-30,8.8,8.2,13.3,2.9,1.7,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,14.8,0.0,10.3,22.87,1.34,0.006,71.65,882.85,59.3,0.0,26.984,33.283,223.3332961111173,26.446095317976216
호소,대청호,추동,2015-03-30,8.8,8.2,13.3,2.9,1.7,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,14.8,0.0,10.3,22.87,,,71.65,882.85,59.3,0.0,26.984,33.283,,26.446095317976216
호소,대청호,문의,2015-04-06,8.8,8.2,13.3,2.9,1.7,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,10.4,2.1,0.0,5.41,1.403,0.007,71.52,875.793,58.8,1.8356,70.874,70.874,200.42854279592245,12.339631414320738
호소,대청호,회남,2015-04-06,8.8,8.2,13.3,2.9,1.7,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,10.4,2.1,0.0,5.41,,,71.52,875.793,58.8,1.8356,70.874,70.874,,12.339631414320738
호소,대청호,추동,2015-04-06,8.8,8.2,13.3,2.9,1.7,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,10.4,2.1,0.0,5.41,,,71.52,875.793,58.8,1.8356,70.874,70.874,,12.339631414320738
호소,대청호,회남,2015-04-13,8.8,8.2,13.3,2.9,1.7,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,10.8,1.5,0.2,5.43,,,71.4,869.308,58.3,2.3573,42.133,79.621,,10.904379021838663
호소,대청호,문의,2015-04-13,8.8,8.2,13.3,2.9,1.7,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,10.8,1.5,0.2,5.43,1.673,0.007,71.4,869.308,58.3,2.3573,42.133,79.621,238.9999658571477,10.904379021838663
호소,대청호,추동,2015-04-13,8.8,8.2,13.3,2.9,1.7,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,10.8,1.5,0.2,5.43,,,71.4,869.308,58.3,2.3573,42.133,79.621,,10.904379021838663
호소,대청호,회남,2015-04-20,8.8,8.2,13.3,2.9,1.7,4.5,18.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,11.5,13.0,0.0,3.63,,,71.35,866.614,58.2,15.2309,79.173,79.173,,10.932019729289923
호소,대청호,문의,2015-04-20,8.8,8.2,13.3,2.9,1.7,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,11.5,13.0,0.0,3.63,1.392,0.007,71.35,866.614,58.2,15.2309,79.173,79.173,198.85711444898362,10.932019729289923
호소,대청호,추동,2015-04-20,8.8,8.2,13.3,2.9,1.7,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,11.5,13.0,0.0,3.63,,,71.35,866.614,58.2,15.2309,79.173,79.173,,10.932019729289923
호소,대청호,문의,2015-04-27,8.8,8.2,13.3,2.9,1.7,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,19.3,0.0,12.4,27.61,1.838,0.007,71.41,869.847,58.4,0.0,41.104,41.104,262.57139106122986,21.110741675565478
호소,대청호,추동,2015-04-27,8.8,8.2,13.3,2.9,1.7,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,19.3,0.0,12.4,27.61,,,71.41,869.847,58.4,0.0,41.104,41.104,,21.110741675565478
호소,대청호,회남,2015-04-27,8.8,8.2,13.3,2.9,1.7,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,19.3,0.0,12.4,27.61,,,71.41,869.847,58.4,0.0,41.104,41.104,,21.110741675565478
호소,대청호,문의,2015-05-04,8.8,8.2,13.3,2.9,1.7,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,16.4,0.0,11.8,27.61,1.546,0.008,71.17,856.957,57.5,0.2501,40.515,96.311,193.24997584375302,8.88858117849623
호소,대청호,회남,2015-05-04,8.8,8.2,13.3,2.9,1.7,4.5,184.0,18.0,0.0,0.0,166.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,16.4,0.0,11.8,27.61,,,71.17,856.957,57.5,0.2501,40.515,96.311,,8.88858117849623
호소,대청호,추동,2015-05-04,8.8,8.2,13.3,2.9,1.7,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,16.4,0.0,11.8,27.61,,,71.17,856.957,57.5,0.2501,40.515,96.311,,8.88858117849623
호소,대청호,추동,2015-05-11,8.8,8.2,13.3,2.9,1.7,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,18.2,10.0,5.3,16.62,,,70.48,820.52,55.1,5.0741,36.565,97.025,,8.448082368082368
호소,대청호,문의,2015-05-11,8.8,8.2,13.3,2.9,1.7,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,18.2,10.0,5.3,16.62,1.564,0.008,70.48,820.52,55.1,5.0741,36.565,97.025,195.49997556250307,8.448082368082368
호소,대청호,회남,2015-05-11,8.8,8.2,13.3,2.9,1.7,4.5,22.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,18.2,10.0,5.3,16.62,,,70.48,820.52,55.1,5.0741,36.565,97.025,,8.448082368082368
호소,대청호,추동,2015-05-18,8.8,8.2,13.3,2.9,1.7,4.5,44.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,18.7,0.0,5.6,18.34,,,69.72,781.161,52.4,0.0,26.619,97.357,,8.015442708066121
호소,대청호,문의,2015-05-18,8.8,8.2,13.3,2.9,1.7,4.5,28.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,18.7,0.0,5.6,18.34,1.588,0.007,69.72,781.161,52.4,0.0,26.619,97.357,226.85711044898423,8.015442708066121
호소,대청호,회남,2015-05-18,8.8,8.2,13.3,2.9,1.7,4.5,540.0,280.0,86.0,0.0,174.0,10.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,18.7,0.0,5.6,18.34,,,69.72,781.161,52.4,0.0,26.619,97.357,,8.015442708066121
호소,대청호,추동,2015-05-26,8.8,8.2,13.3,2.9,1.7,4.5,486.0,486.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,22.3,0.0,13.3,31.86,,,68.75,732.942,49.2,0.0,22.067,95.459,,7.6700467773836065
호소,대청호,회남,2015-05-26,8.8,8.2,13.3,2.9,1.7,4.5,16.0,0.0,0.0,0.0,16.0,8.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,22.3,0.0,13.3,31.86,,,68.75,732.942,49.2,0.0,22.067,95.459,,7.6700467773836065
호소,대청호,문의,2015-05-26,8.8,8.2,13.3,2.9,1.7,4.5,28.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,22.3,0.0,13.3,31.86,1.633,0.007,68.75,732.942,49.2,0.0,22.067,95.459,233.28568095918843,7.6700467773836065
호소,대청호,문의,2015-06-01,8.8,8.2,13.3,2.9,1.7,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,23.3,0.0,12.5,28.27,1.491,0.007,67.98,696.142,46.7,0.0,13.356,89.685,212.99996957143293,7.753433201537006
호소,대청호,추동,2015-06-01,8.8,8.2,13.3,2.9,1.7,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,23.3,0.0,12.5,28.27,2.502,0.004,67.98,696.142,46.7,0.0,13.356,89.685,625.4998436250389,7.753433201537006
호소,대청호,회남,2015-06-01,8.8,8.2,13.3,2.9,1.7,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,23.3,0.0,12.5,28.27,3.442,0.02,67.98,696.142,46.7,0.0,13.356,89.685,172.09999139500044,7.753433201537006
호소,대청호,회남,2015-06-08,8.8,8.2,13.3,2.9,1.7,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,22.0,0.0,1.3,12.78,,,67.07,654.301,43.9,0.1095,18.42,86.352,,7.568373201314024
호소,대청호,문의,2015-06-08,8.8,8.2,13.3,2.9,1.7,4.5,120.0,86.0,0.0,0.0,34.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,22.0,0.0,1.3,12.78,1.437,0.007,67.07,654.301,43.9,0.1095,18.42,86.352,205.28568495918785,7.568373201314024
호소,대청호,추동,2015-06-08,8.8,8.2,13.3,2.9,1.7,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,22.0,0.0,1.3,12.78,,,67.07,654.301,43.9,0.1095,18.42,86.352,,7.568373201314024
호소,대청호,추동,2015-06-15,8.8,8.2,13.3,2.9,1.7,4.5,540.0,540.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,24.9,0.0,5.1,19.87,,,66.25,618.097,41.5,0.0,14.476,74.786,,8.253839168870016
호소,대청호,회남,2015-06-15,8.8,8.2,13.3,2.9,1.7,4.5,656.0,620.0,36.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,24.9,0.0,5.1,19.87,,,66.25,618.097,41.5,0.0,14.476,74.786,,8.253839168870016
호소,대청호,문의,2015-06-15,8.8,8.2,13.3,2.9,1.7,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,24.9,0.0,5.1,19.87,1.275,0.009,66.25,618.097,41.5,0.0,14.476,74.786,141.66665092592768,8.253839168870016
호소,대청호,문의,2015-06-22,8.8,8.2,13.3,2.9,1.7,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,24.4,0.0,7.1,23.5,1.441,0.011,65.54,587.871,39.5,1.4345,21.935,75.354,130.9999880909102,7.791117767116389
호소,대청호,회남,2015-06-22,8.8,8.2,13.3,2.9,1.7,4.5,644.0,420.0,224.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,24.4,0.0,7.1,23.5,,,65.54,587.871,39.5,1.4345,21.935,75.354,,7.791117767116389
호소,대청호,추동,2015-06-22,8.8,8.2,13.3,2.9,1.7,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,24.4,0.0,7.1,23.5,,,65.54,587.871,39.5,1.4345,21.935,75.354,,7.791117767116389
호소,대청호,추동,2015-06-29,8.8,8.2,13.3,2.9,1.7,4.5,2232.0,2064.0,0.0,36.0,132.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,25.7,0.0,10.1,26.28,,,65.37,580.787,39.0,0.0,39.02,58.253,,9.952992990934485
호소,대청호,문의,2015-06-29,8.8,8.2,13.3,2.9,1.7,4.5,142.0,74.0,0.0,0.0,68.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,25.7,0.0,10.1,26.28,1.546,0.014,65.37,580.787,39.0,0.0,39.02,58.253,110.4285635408169,9.952992990934485
호소,대청호,회남,2015-06-29,8.8,8.2,13.3,2.9,1.7,4.5,78.0,0.0,78.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,25.7,0.0,10.1,26.28,,,65.37,580.787,39.0,0.0,39.02,58.253,,9.952992990934485
호소,대청호,문의,2015-07-06,8.8,8.2,13.3,2.9,1.7,4.5,548.0,156.0,0.0,0.0,392.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,24.3,0.0,8.5,23.09,1.084,0.016,64.99,565.161,37.9,1.6656,15.469,43.803,67.74999576562527,12.872947179008268
호소,대청호,회남,2015-07-06,8.8,8.2,13.3,2.9,1.7,4.5,292.0,220.0,8.0,0.0,64.0,6.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,24.3,0.0,8.5,23.09,,,64.99,565.161,37.9,1.6656,15.469,43.803,,12.872947179008268
호소,대청호,추동,2015-07-06,8.8,8.2,13.3,2.9,1.7,4.5,1502.0,1262.0,0.0,0.0,240.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,24.3,0.0,8.5,23.09,,,64.99,565.161,37.9,1.6656,15.469,43.803,,12.872947179008268
호소,대청호,회남,2015-07-13,8.8,8.2,13.3,2.9,1.7,4.5,260.0,220.0,0.0,0.0,40.0,18.0,11.0,0.0,0.7,0.0,0.0,0.0,0.0,23.9,4.6,0.1,6.15,,,66.36,622.872,41.8,1.7676,141.798,46.512,,13.362910838410707
호소,대청호,문의,2015-07-13,8.8,8.2,13.3,2.9,1.7,4.5,140.0,0.0,126.0,0.0,14.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,23.9,4.6,0.1,6.15,0.868,0.014,66.36,622.872,41.8,1.7676,141.798,46.512,61.99999557142889,13.362910838410707
호소,대청호,추동,2015-07-13,8.8,8.2,13.3,2.9,1.7,4.5,422.0,240.0,0.0,0.0,182.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,23.9,4.6,0.1,6.15,,,66.36,622.872,41.8,1.7676,141.798,46.512,,13.362910838410707
호소,대청호,회남,2015-07-20,8.8,8.2,13.3,2.9,1.7,4.5,1406.0,934.0,346.0,0.0,126.0,12.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,27.4,0.0,4.2,19.86,,,66.62,634.259,42.6,0.1075,34.014,54.435,,11.630310809571833
호소,대청호,추동,2015-07-20,8.8,8.2,13.3,2.9,1.7,4.5,532.0,400.0,18.0,0.0,114.0,6.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,27.4,0.0,4.2,19.86,,,66.62,634.259,42.6,0.1075,34.014,54.435,,11.630310809571833
호소,대청호,문의,2015-07-20,8.8,8.2,13.3,2.9,1.7,4.5,366.0,0.0,98.0,0.0,268.0,11.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,27.4,0.0,4.2,19.86,0.707,0.019,66.62,634.259,42.6,0.1075,34.014,54.435,37.21052435734082,11.630310809571833
호소,대청호,문의,2015-07-27,8.8,8.2,13.3,2.9,1.7,4.5,64.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,25.7,4.0,2.3,8.13,0.872,0.016,66.63,634.7,42.6,1.5451,32.112,47.431,54.49999659375021,13.35339041888452
